userIdA,userIdB,JaccardSimilarity,JaccardDistance,SpearmanCorrelation
137812,181530,1.0,0.0,0.981629598726524
77647,294432,0.9981124952812382,0.0018875047187617566,0.9999176277779576
19947,139527,0.9979253112033195,0.0020746887966804906,0.44384735297730876
25084,86967,0.9882575757575758,0.011742424242424221,0.9970536014469599
30254,292994,0.9867549668874173,0.013245033112582738,0.981811541676477
86967,294432,0.985708913125235,0.014291086874764991,0.9971777151300106
25084,294432,0.9852719033232629,0.014728096676737135,0.9997093438985547
77647,86967,0.9838588588588588,0.01614114114114118,0.9970971338960815
25084,77647,0.9834150018846589,0.016584998115341087,0.9996263709434298
112310,261244,0.9827456864216054,0.017254313578394576,0.9989822733025192
112474,241351,0.9812734082397003,0.01872659176029967,0.9521038912571304
50012,174815,0.9787701317715959,0.021229868228404114,0.9998086562072714
41012,300048,0.9766839378238342,0.023316062176165775,1.0
241273,296245,0.9672131147540983,0.032786885245901676,1.0
76755,103216,0.9653179190751445,0.034682080924855474,0.11526408421253882
60944,311877,0.9583333333333334,0.04166666666666663,0.9819641910335216
77647,174815,0.9582111436950147,0.0417888563049853,0.9994313829852518
83880,86967,0.957623912220961,0.04237608777903901,0.9938640934875838
174815,294432,0.9563782991202346,0.04362170087976536,0.9993473321046444
25084,83880,0.9555808656036446,0.044419134396355364,0.9929131940412299
46734,135003,0.9550290135396519,0.04497098646034814,0.9990380114336507
44624,216423,0.9526462395543176,0.0473537604456824,0.9980355693388588
83880,261244,0.9516129032258065,0.048387096774193505,0.9614294913749926
116432,247373,0.9478405315614618,0.05215946843853825,0.9968474751822467
68753,174216,0.9476861167002012,0.0523138832997988,0.905625233349442
83880,294432,0.946656649135988,0.053343350864011985,0.9927335958691921
77647,83880,0.9448818897637795,0.055118110236220486,0.992733595869192
25084,174815,0.9435897435897436,0.05641025641025643,0.9992434793698323
86967,174815,0.9427633977397011,0.05723660226029892,0.9964893030530206
90682,207796,0.9418604651162791,0.05813953488372092,0.9924493223140626
134631,223888,0.9415584415584416,0.058441558441558406,0.9009544543098206
50012,77647,0.941346850108617,0.05865314989138304,0.999427974760314
50012,294432,0.9402390438247012,0.05976095617529875,0.9993438209706685
83880,112310,0.9343832020997376,0.06561679790026242,0.9598448512724914
95676,252853,0.9334377447141738,0.06656225528582616,0.9977531879117707
25084,50012,0.9290112278160086,0.07098877218399136,0.999043335969887
50012,86967,0.9275675675675675,0.07243243243243247,0.9964502979041268
50012,247373,0.9214285714285714,0.07857142857142863,0.998970532350059
86967,261244,0.9164859002169198,0.08351409978308022,0.9634761213014632
107564,320850,0.9151414309484193,0.08485856905158073,-0.003410095963645418
37704,311877,0.9144736842105263,0.08552631578947367,0.9687007446640131
25084,261244,0.9143997098295249,0.0856002901704751,0.9635317011570225
211127,224154,0.9115913555992141,0.08840864440078589,0.855468028601456
15774,324684,0.9106029106029107,0.08939708939708935,0.9726582575156649
305,105129,0.9095513748191028,0.09044862518089725,0.9535587838204231
